prefix	as_path	timestamp	origin	prefix_id	prefix_block_id
0.0.0.0/0	{22742,3257}	1610340818	3257	0	0
1.0.0.0/24	{22742,13335}	1611186635	13335	1	1
1.0.4.0/22	{22742,6939,4826,38803}	1608040018	38803	2	2
1.0.4.0/24	{22742,6939,4826,38803}	1608040018	38803	3	3
1.0.5.0/24	{22742,6939,4826,38803}	1608040018	38803	4	4
1.0.6.0/24	{22742,6939,4826,38803}	1608040018	38803	5	5
1.0.7.0/24	{22742,6939,4826,38803}	1608040018	38803	6	6
1.0.16.0/24	{22742,3257,174,2519}	1610340791	2519	7	7
1.0.64.0/18	{22742,3257,2497,7670,18144}	1610340834	18144	8	8
1.0.128.0/17	{22742,6939,38040,23969}	1604610901	23969	9	9
1.0.128.0/18	{22742,6939,38040,23969}	1604610901	23969	10	10
1.0.128.0/19	{22742,6939,38040,23969}	1604610901	23969	11	11
1.0.128.0/24	{22742,3257,9002,38040,23969}	1611091709	23969	12	12
1.0.129.0/24	{22742,6939,4651,23969}	1607071179	23969	13	13
1.0.132.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	14	14
1.0.133.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	15	15
1.0.136.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	16	16
1.0.137.0/24	{22742,3257,9002,38040,23969}	1611044512	23969	17	17
1.0.138.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	18	18
1.0.139.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	19	19
1.0.141.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	20	20
1.0.144.0/20	{22742,6939,4651,23969}	1607071179	23969	21	21
1.0.160.0/19	{22742,6939,38040,23969}	1604610901	23969	22	22
1.0.160.0/22	{22742,6939,38040,23969}	1604610901	23969	23	23
1.0.164.0/24	{22742,3257,9002,38040,23969}	1611044512	23969	24	24
1.0.165.0/24	{22742,3257,9002,38040,23969}	1611091709	23969	25	25
1.0.166.0/24	{22742,3257,9002,38040,23969}	1611044512	23969	26	26
1.0.167.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	27	27
1.0.168.0/22	{22742,6939,4651,23969}	1607071179	23969	28	28
1.0.172.0/22	{22742,6939,4651,23969}	1607071179	23969	29	29
1.0.192.0/18	{22742,6939,38040,23969}	1604610901	23969	30	30
1.0.192.0/19	{22742,6939,38040,23969}	1604610901	23969	31	31
1.0.192.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	32	32
1.0.193.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	33	33
1.0.194.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	34	34
1.0.195.0/24	{22742,3257,9002,38040,23969}	1611044635	23969	35	35
1.0.196.0/24	{22742,3257,9002,38040,23969}	1611072475	23969	36	36
1.0.197.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	37	37
1.0.198.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	38	38
1.0.199.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	39	39
1.0.200.0/24	{22742,3257,9002,38040,23969}	1611044512	23969	40	40
1.0.201.0/24	{22742,3257,1299,38040,23969}	1611328460	23969	41	41
1.0.204.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	42	42
1.0.205.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	43	43
1.0.206.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	44	44
1.0.207.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	45	45
1.0.208.0/23	{22742,3257,9002,38040,23969}	1610813767	23969	46	46
1.0.210.0/23	{22742,3257,9002,38040,23969}	1610813767	23969	47	47
1.0.212.0/23	{22742,3257,9002,38040,23969}	1610813767	23969	48	48
1.0.214.0/24	{22742,6939,4651,23969}	1610989087	23969	49	49
1.0.215.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	50	50
1.0.216.0/24	{22742,3257,9002,38040,23969}	1611044512	23969	51	51
1.0.217.0/24	{22742,3257,9002,38040,23969}	1611044512	23969	52	52
1.0.218.0/24	{22742,3257,9002,38040,23969}	1611091709	23969	53	53
1.0.219.0/24	{22742,6939,4651,23969}	1611113605	23969	54	54
1.0.220.0/24	{22742,3257,9002,38040,23969}	1610813767	23969	55	55
1.0.221.0/24	{22742,6939,4651,23969}	1611187705	23969	56	56
1.0.224.0/19	{22742,6939,38040,23969}	1604610901	23969	57	57
1.0.240.0/21	{22742,6939,4651,23969}	1607071179	23969	58	58
1.0.248.0/21	{22742,6939,4651,23969}	1610989087	23969	59	59
1.1.1.0/24	{22742,13335}	1611186635	13335	60	60
1.1.8.0/24	{22742,3257,4134}	1610340907	4134	61	61
1.1.64.0/19	{22742,3257,174,2519}	1610340791	2519	62	62
1.1.96.0/24	{22742,3257,174,2519}	1610340791	2519	63	63
1.1.97.0/24	{22742,3257,174,2519}	1610340791	2519	64	64
1.1.98.0/24	{22742,3257,174,2519}	1610340791	2519	65	65
1.1.99.0/24	{22742,3257,174,2519}	1610340791	2519	66	66
1.1.100.0/24	{22742,3257,174,2519}	1610340791	2519	67	67
1.1.101.0/24	{22742,3257,174,2519}	1610340791	2519	68	68
1.1.102.0/24	{22742,3257,174,2519}	1610340791	2519	69	69
1.1.103.0/24	{22742,3257,174,2519}	1610340791	2519	70	70
1.1.104.0/24	{22742,3257,174,2519}	1610340791	2519	71	71
1.1.105.0/24	{22742,3257,174,2519}	1610340791	2519	72	72
1.1.106.0/24	{22742,3257,174,2519}	1610340791	2519	73	73
1.1.107.0/24	{22742,3257,174,2519}	1610340791	2519	74	74
1.1.108.0/24	{22742,3257,174,2519}	1610340791	2519	75	75
1.1.109.0/24	{22742,3257,174,2519}	1610340791	2519	76	76
1.1.110.0/24	{22742,3257,174,2519}	1610340791	2519	77	77
1.1.111.0/24	{22742,3257,174,2519}	1610340791	2519	78	78
1.1.112.0/24	{22742,3257,174,2519}	1610340791	2519	79	79
1.1.113.0/24	{22742,3257,174,2519}	1610340791	2519	80	80
1.1.114.0/24	{22742,3257,174,2519}	1610340791	2519	81	81
1.1.115.0/24	{22742,3257,174,2519}	1610340791	2519	82	82
1.1.116.0/24	{22742,3257,174,2519}	1610340791	2519	83	83
1.1.117.0/24	{22742,3257,174,2519}	1610340791	2519	84	84
1.1.118.0/24	{22742,3257,174,2519}	1610340791	2519	85	85
1.1.119.0/24	{22742,3257,174,2519}	1610340791	2519	86	86
1.1.120.0/24	{22742,3257,174,2519}	1610340791	2519	87	87
1.1.121.0/24	{22742,3257,174,2519}	1610340791	2519	88	88
1.1.122.0/24	{22742,3257,174,2519}	1610340791	2519	89	89
1.1.123.0/24	{22742,3257,174,2519}	1610340791	2519	90	90
1.1.124.0/24	{22742,3257,174,2519}	1610340791	2519	91	91
1.1.125.0/24	{22742,3257,174,2519}	1610340791	2519	92	92
1.1.126.0/24	{22742,3257,174,2519}	1610340791	2519	93	93
1.1.128.0/17	{22742,6939,38040,23969}	1604610901	23969	94	94
1.1.128.0/18	{22742,6939,38040,23969}	1604610901	23969	95	95
1.1.128.0/19	{22742,6939,38040,23969}	1604610901	23969	96	96
1.1.128.0/21	{22742,3257,58453,38040,23969}	1610893250	23969	97	97
1.1.136.0/24	{22742,3257,58453,38040,23969}	1610341008	23969	98	98
1.1.137.0/24	{22742,3257,58453,38040,23969}	1610341008	23969	99	99
1.1.138.0/24	{22742,3257,58453,38040,23969}	1610341008	23969	100	100
